"id","name","host_id","host_name","neighbourhood_group","neighbourhood","latitude","longitude","room_type","price","minimum_nights","number_of_reviews","last_review","reviews_per_month","calculated_host_listings_count","availability_365","number_of_reviews_ltm","license"
43140162,"Safari City Limits | Arras Vacation Rentals",343440528,"Arras",NA,28801,35.59503,-82.55147,"Entire home/apt",160,3,16,"2022-02-22",0.78,9,344,10,NA
45622387,"New tiny house in the heart of West Asheville",159835412,"Justin",NA,28806,35.5747,-82.59074,"Entire home/apt",102,2,110,"2022-03-18",6.19,1,137,73,NA
50378910,"Historic Charlotte Street Condo",167186184,"Towns",NA,28801,35.60226,-82.54756,"Entire home/apt",124,1,18,"2022-01-17",1.96,114,273,18,NA
53643250,"1-BR with private bath in 2 BR riverside apartment",182294584,"Michelle",NA,28805,35.58787,-82.46454,"Private room",75,1,0,"",NA,1,0,0,NA
15568000,"Namaste Yurt, best of both worlds",51104544,"Simms",NA,28805,35.60733,-82.48834,"Entire home/apt",118,2,191,"2022-03-01",2.93,3,234,51,NA
37793218,"Simply Divine in West Asheville!",255209652,"Max",NA,28806,35.57103,-82.58789,"Entire home/apt",219,2,96,"2021-08-08",3.09,1,107,6,NA
38358756,"Secluded Asheville Hillside Hide-Away",84896326,"Dewey And CJ",NA,28803,35.49395,-82.51496,"Entire home/apt",89,1,96,"2022-03-13",3.14,1,115,38,NA
49690346,"Stone Cottage-2.5 miles from Biltmore Park!",44036707,"Michael",NA,28704,35.46399,-82.57697,"Entire home/apt",95,2,25,"2022-01-15",2.6,3,338,25,NA
48746518,"West Asheville Suite",391971447,"Robin",NA,28806,35.56198,-82.61176,"Entire home/apt",88,1,119,"2022-03-13",9.78,8,292,119,NA
51083596,"Suite Apartment- Walkable to downtown",374979840,"Stephanie",NA,28801,35.59997,-82.56133,"Entire home/apt",84,2,46,"2022-03-15",6.54,2,221,46,NA
28584499,"Quiet Backyard Apartment",23697772,"Nell",NA,28803,35.56121,-82.50522,"Entire home/apt",151,30,9,"2021-10-01",0.22,1,86,1,NA
36420977,"Brookstone Lodge Biltmore Village Area",184069772,"Cash",NA,28803,35.56714,-82.54376,"Hotel room",99,1,86,"2022-03-13",2.66,2,312,35,NA
576878124685983744,"Spacious home located 10 minutes from downtown.",448289318,"Jason",NA,28806,35.62815,-82.61528,"Entire home/apt",160,3,1,"2022-03-20",1,1,358,1,NA
49205622,"West Asheville Airstream with Hot Tub",396620878,"Christine",NA,28806,35.57773,-82.63926,"Entire home/apt",78,1,112,"2022-03-16",9.94,4,357,112,NA
41717325,"Mountain Privacy with Proximity to Downtown! Includes Biltmore Pass!",134903005,"Carolina Mornings",NA,28804,35.62737,-82.53014,"Entire home/apt",239,1,4,"2021-08-26",0.26,23,299,3,NA
39048434,"Walk to hip West AVL & RAD / View / Good vibes",185370249,"Brooke & Keith",NA,28806,35.58553,-82.57401,"Private room",151,2,69,"2022-03-13",2.33,2,31,32,NA
47311262,"Private Home in Asheville Near French Broad River",356531815,"Foley Realty",NA,28804,35.62479,-82.61199,"Entire home/apt",207,3,20,"2021-11-27",1.43,1,0,15,NA
52367944,"Modern Chic w Mountain View A",266361810,"Alina",NA,28804,35.62178,-82.57132,"Private room",70,2,4,"2021-12-29",0.85,3,178,4,NA
48010459,"Upstream Bachelor Sanctuary - New Wedding Venue",108739712,"Jay",NA,28803,35.56765,-82.56573,"Entire home/apt",1560,2,2,"2022-02-23",0.38,4,276,2,NA
27689813,"Clean & Spacious Retreat Near Downtown & Parkway",10057257,"Angela",NA,28803,35.54919,-82.4805,"Entire home/apt",213,2,126,"2022-02-20",2.89,1,301,35,NA
44996842,"Candler Home 10min from Asheville",128453939,"Rebekah",NA,28715,35.545,-82.67287,"Entire home/apt",150,3,68,"2022-03-06",3.6,1,271,44,NA
54280478,"Flander’s Field at Beaverdam",323614638,"Tamra",NA,28804,35.64414,-82.5179,"Entire home/apt",375,2,0,"",NA,2,78,0,NA
12810440,"Modern in Downtown Walkable West Asheville",69842230,"Nicole",NA,28806,35.57363,-82.59925,"Entire home/apt",99,2,259,"2022-03-05",3.7,1,161,55,NA
53363354,"Great Location, West Asheville home, whole house",247799171,"Brent",NA,28806,35.57401,-82.60539,"Entire home/apt",105,28,1,"2022-01-28",0.58,2,220,1,NA
