"regio1","serviceCharge","heatingType","balcony","picturecount","totalRent","yearConstructed","noParkSpaces","hasKitchen","livingSpace","condition","petsAllowed","heatingCosts","typeOfFlat","floor","date"
"Nordrhein_Westfalen",92,"central_heating",FALSE,11,920,NA,NA,FALSE,81,"first_time_use_after_refurbishment","no",60,"apartment",1,"19-Oct"
"Berlin",199.69,"gas_heating",TRUE,8,660.43,1928,NA,FALSE,49.27,"refurbished",NA,117.43,"ground_floor",0,"18-Sep"
"Nordrhein_Westfalen",120,"self_contained_central_heating",FALSE,13,1170,NA,NA,FALSE,84,"first_time_use_after_refurbishment","no",NA,"roof_storey",5,"18-Sep"
"Sachsen_Anhalt",50,"combined_heat_and_power_plant",FALSE,8,445,1923,NA,TRUE,53.08,"well_kept","negotiable",50,"maisonette",3,"19-May"
"Sachsen",50,"central_heating",TRUE,2,350,1986,NA,FALSE,30.43,"refurbished","negotiable",40,NA,0,"18-Sep"
"Nordrhein_Westfalen",150,"central_heating",TRUE,40,930,1980,1,FALSE,137.39,"well_kept","no",NA,"roof_storey",2,"20-Feb"
"Nordrhein_Westfalen",150,"central_heating",TRUE,1,810,1994,1,FALSE,75.3,"negotiable","negotiable",60,"terraced_flat",0,"20-Feb"
"Sachsen_Anhalt",170,"central_heating",TRUE,24,673,1996,1,TRUE,77,"well_kept","negotiable",NA,"other",1,"20-Feb"
"Sachsen",80,"central_heating",TRUE,11,470,NA,NA,FALSE,67,"refurbished","negotiable",80,"raised_ground_floor",NA,"18-Sep"
"Schleswig_Holstein",115,"self_contained_central_heating",FALSE,20,755,1953,10,TRUE,59,"modernized","no",100,"apartment",1,"19-Oct"
"Bayern",60,"floor_heating",TRUE,6,900,2016,1,TRUE,83,"mint_condition","no",90,"apartment",0,"18-Sep"
"Niedersachsen",60,"central_heating",TRUE,9,660,2000,1,TRUE,56,"fully_renovated","no",70,"apartment",1,"19-May"
"Nordrhein_Westfalen",182,"district_heating",TRUE,4,584.03,2017,65,FALSE,67,"first_time_use","negotiable",45,"apartment",1,"19-May"
"Nordrhein_Westfalen",140,"central_heating",FALSE,23,1070,1927,1,FALSE,127,"fully_renovated","no",165,"apartment",1,"18-Sep"
"Schleswig_Holstein",135,"district_heating",TRUE,10,1074,2015,1,TRUE,67,"mint_condition","negotiable",75,"apartment",1,"18-Sep"
"Bayern",126.3,"central_heating",TRUE,7,1162.3,1969,1,FALSE,74,"well_kept","no",120,"apartment",0,"19-Oct"
"Nordrhein_Westfalen",160,"floor_heating",TRUE,10,2200,2019,2,TRUE,147,"first_time_use","negotiable",140,"apartment",1,"19-May"
"Nordrhein_Westfalen",140,"floor_heating",TRUE,8,830,2020,1,FALSE,77.71,"first_time_use","negotiable",40,"apartment",1,"20-Feb"
"Schleswig_Holstein",80,"central_heating",TRUE,16,520,1979,1,TRUE,54.5,"well_kept","negotiable",60,"apartment",2,"18-Sep"
"Nordrhein_Westfalen",95,"gas_heating",TRUE,19,960,1974,1,TRUE,94,"fully_renovated","yes",115,"apartment",1,"18-Sep"
"Nordrhein_Westfalen",79.5,"heat_pump",TRUE,7,868.5,2016,1,TRUE,53,"mint_condition","no",53,"ground_floor",0,"19-May"
"Nordrhein_Westfalen",120,"heat_pump",TRUE,16,1150,2020,1,FALSE,80,"first_time_use","negotiable",30,"apartment",1,"20-Feb"
"Bayern",90,"central_heating",TRUE,20,1120,1994,1,FALSE,87,"well_kept","no",80,"maisonette",1,"19-May"
"Nordrhein_Westfalen",200,"floor_heating",TRUE,12,1030,2013,1,TRUE,81,"mint_condition","no",35,"ground_floor",0,"19-May"
"Nordrhein_Westfalen",90,"central_heating",TRUE,10,490,1976,2,FALSE,42.38,"well_kept","yes",80,"apartment",1,"20-Feb"
"Bayern",140,"central_heating",TRUE,10,1770,2019,1,TRUE,57.68,"first_time_use","negotiable",65,"apartment",1,"19-Oct"
"Niedersachsen",240,"central_heating",TRUE,11,1507,2015,1,TRUE,116,"mint_condition","no",0,"apartment",2,"20-Feb"
"Schleswig_Holstein",50,"self_contained_central_heating",FALSE,8,470,1994,1,FALSE,57,"well_kept","no",50,"apartment",2,"19-May"
"Schleswig_Holstein",90,"district_heating",TRUE,10,1170,1903,1,TRUE,98,"modernized","no",90,"apartment",1,"19-Oct"
"Nordrhein_Westfalen",45,"central_heating",FALSE,1,300,1900,0,FALSE,32,"modernized","no",45,"ground_floor",0,"19-May"
"Bayern",115,"floor_heating",TRUE,1,915,2017,1,TRUE,54,"mint_condition","no",0,"ground_floor",0,"19-May"
"Sachsen_Anhalt",66,"central_heating",TRUE,11,456,1937,1,FALSE,66,"mint_condition","negotiable",150,"apartment",2,"19-Oct"
"Schleswig_Holstein",70,"floor_heating",TRUE,4,810,2016,1,TRUE,62.04,"mint_condition","negotiable",60,"apartment",1,"20-Feb"
"Berlin",160,"central_heating",TRUE,13,960,1971,1,TRUE,65,"well_kept","negotiable",70,"other",2,"18-Sep"
"Bayern",90,"central_heating",TRUE,9,850,1974,1,FALSE,82,"well_kept","no",90,"apartment",2,"20-Feb"
"Nordrhein_Westfalen",95,"central_heating",TRUE,12,665,1970,1,TRUE,83,"fully_renovated","negotiable",110,"apartment",1,"20-Feb"
